--------------------
BDMEP - INMET
--------------------
Estação           : MARINGA - PR (OMM: 83767)
Latitude  (graus) : -23.4
Longitude (graus) : -51.91
Altitude  (metros): 542.00
Estação Operante
Inicio de operação: 01/12/1953
Periodo solicitado dos dados: 10/05/2016 a 10/05/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;Umidade Relativa Media;Velocidade do Vento Media;
83767;28/10/2016;1200;0;;;
83767;29/10/2016;0000;;46.75;2.333333;
83767;29/10/2016;1200;0;;;
83767;30/10/2016;0000;;56;2.333333;
83767;30/10/2016;1200;0;;;
83767;31/10/2016;0000;;58;4;
83767;31/10/2016;1200;0;;;
83767;01/11/2016;0000;;56.5;2;
83767;01/11/2016;1200;0;;;
83767;02/11/2016;0000;;82.5;1.333333;
83767;02/11/2016;1200;0;;;
83767;03/11/2016;0000;;68.25;0.666667;
83767;03/11/2016;1200;17.8;;;
83767;04/11/2016;0000;;63;1.333333;
83767;04/11/2016;1200;0;;;
83767;05/11/2016;0000;;47.25;1;
83767;05/11/2016;1200;0;;;
83767;06/11/2016;0000;;57.75;1.666667;
83767;06/11/2016;1200;0;;;
83767;07/11/2016;0000;;55.75;1.333333;
83767;07/11/2016;1200;0;;;
83767;08/11/2016;0000;;57.5;1.333333;
83767;08/11/2016;1200;0.2;;;
83767;09/11/2016;0000;;55;1;
83767;09/11/2016;1200;0;;;
83767;10/11/2016;0000;;52;2;
83767;10/11/2016;1200;0;;;
83767;11/11/2016;0000;;73.5;2.666667;
83767;11/11/2016;1200;0;;;
83767;12/11/2016;0000;;74;2.333333;
83767;12/11/2016;1200;7.5;;;
83767;13/11/2016;0000;;76.25;2;
83767;13/11/2016;1200;0.8;;;
83767;14/11/2016;0000;;58.5;1.666667;
83767;14/11/2016;1200;0;;;
83767;15/11/2016;0000;;61.25;1;
83767;15/11/2016;1200;0;;;
83767;16/11/2016;0000;;60;3;
83767;16/11/2016;1200;0;;;
83767;17/11/2016;0000;;49.25;3;
83767;17/11/2016;1200;0;;;
83767;18/11/2016;0000;;43.5;3.333333;
83767;18/11/2016;1200;0;;;
83767;19/11/2016;0000;;44.25;1.333333;
83767;19/11/2016;1200;0;;;
83767;20/11/2016;0000;;44.25;0.666667;
83767;20/11/2016;1200;0;;;
83767;21/11/2016;0000;;36.75;1;
83767;21/11/2016;1200;0;;;
83767;22/11/2016;0000;;40.5;1.333333;
83767;22/11/2016;1200;0;;;
83767;23/11/2016;0000;;50.25;1.666667;
83767;23/11/2016;1200;0;;;
83767;24/11/2016;0000;;52.75;1.333333;
83767;24/11/2016;1200;0;;;
83767;25/11/2016;0000;;62.25;1.333333;
83767;25/11/2016;1200;0;;;
83767;26/11/2016;0000;;63.5;1;
83767;26/11/2016;1200;0.2;;;
83767;27/11/2016;0000;;67.25;2;
83767;27/11/2016;1200;2.3;;;
83767;28/11/2016;0000;;83.5;1.666667;
83767;28/11/2016;1200;0;;;
83767;29/11/2016;0000;;82;1;
83767;29/11/2016;1200;8.1;;;
83767;30/11/2016;0000;;66.25;2.333333;
83767;30/11/2016;1200;0;;;
83767;01/12/2016;0000;;63.75;1.666667;
83767;01/12/2016;1200;0;;;
83767;02/12/2016;0000;;69.75;1.666667;
83767;02/12/2016;1200;0;;;
83767;03/12/2016;0000;;86.5;2;
83767;03/12/2016;1200;5.1;;;
83767;04/12/2016;0000;;71.25;1.333333;
83767;04/12/2016;1200;15.4;;;
83767;05/12/2016;0000;;52;2;
83767;05/12/2016;1200;0;;;
83767;06/12/2016;0000;;65;2;
83767;06/12/2016;1200;0;;;
83767;07/12/2016;0000;;72.25;1.333333;
83767;07/12/2016;1200;2.4;;;
83767;08/12/2016;0000;;82.75;1.333333;
83767;08/12/2016;1200;0;;;
83767;09/12/2016;0000;;92.25;1;
83767;09/12/2016;1200;4.4;;;
83767;10/12/2016;0000;;96.5;0.666667;
83767;10/12/2016;1200;18.8;;;
83767;11/12/2016;0000;;93.5;0.666667;
83767;11/12/2016;1200;38.5;;;
83767;12/12/2016;0000;;76.5;1.333333;
83767;12/12/2016;1200;7.9;;;
83767;13/12/2016;0000;;67.75;1;
83767;13/12/2016;1200;0;;;
83767;14/12/2016;0000;;57.5;2.333333;
83767;14/12/2016;1200;0;;;
83767;15/12/2016;0000;;63.5;4;
83767;15/12/2016;1200;0;;;
83767;16/12/2016;0000;;63.5;3.666667;
83767;16/12/2016;1200;0;;;
83767;17/12/2016;0000;;60;1.666667;
83767;17/12/2016;1200;0;;;
83767;18/12/2016;0000;;75.75;3;
83767;18/12/2016;1200;0;;;
83767;19/12/2016;0000;;84.5;1.666667;
83767;19/12/2016;1200;74.8;;;
83767;20/12/2016;0000;;87;1.333333;
83767;20/12/2016;1200;6.2;;;
83767;21/12/2016;0000;;83.5;1.666667;
83767;21/12/2016;1200;5.4;;;
83767;22/12/2016;0000;;74.75;1.666667;
83767;22/12/2016;1200;0;;;
83767;23/12/2016;0000;;75.75;1;
83767;23/12/2016;1200;4.8;;;
83767;24/12/2016;0000;;67.25;1;
83767;24/12/2016;1200;0.8;;;
83767;25/12/2016;0000;;70.75;1;
83767;25/12/2016;1200;0;;;
83767;26/12/2016;0000;;65;1;
83767;26/12/2016;1200;0;;;
83767;27/12/2016;0000;;67.5;1;
83767;27/12/2016;1200;0;;;
83767;28/12/2016;0000;;82.75;0.666667;
83767;28/12/2016;1200;0;;;
83767;29/12/2016;0000;;67.75;1;
83767;29/12/2016;1200;23.2;;;
83767;30/12/2016;0000;;83;0.666667;
83767;30/12/2016;1200;6.2;;;
83767;31/12/2016;0000;;85.75;0.666667;
83767;31/12/2016;1200;1.4;;;
83767;01/01/2017;0000;;84.5;1;
83767;01/01/2017;1200;22.6;;;
83767;02/01/2017;0000;;76.5;0.333333;
83767;02/01/2017;1200;39.5;;;
83767;03/01/2017;0000;;76.25;1;
83767;03/01/2017;1200;0;;;
83767;04/01/2017;0000;;86.25;1;
83767;04/01/2017;1200;1.5;;;
83767;05/01/2017;0000;;77.75;1;
83767;05/01/2017;1200;56.8;;;
83767;06/01/2017;0000;;83;1;
83767;06/01/2017;1200;0;;;
83767;07/01/2017;0000;;73.5;0.666667;
83767;07/01/2017;1200;0.3;;;
83767;08/01/2017;0000;;70.25;1;
83767;08/01/2017;1200;0;;;
83767;09/01/2017;0000;;80.25;1.666667;
83767;09/01/2017;1200;10.2;;;
83767;10/01/2017;0000;;86.5;0.666667;
83767;10/01/2017;1200;84.3;;;
83767;11/01/2017;0000;;82;1;
83767;11/01/2017;1200;8.6;;;
83767;12/01/2017;0000;;76.25;2;
83767;12/01/2017;1200;1.8;;;
83767;13/01/2017;0000;;67.5;1;
83767;13/01/2017;1200;13.9;;;
83767;14/01/2017;0000;;70.5;0.666667;
83767;14/01/2017;1200;0;;;
83767;15/01/2017;0000;;66.75;1;
83767;15/01/2017;1200;0;;;
83767;16/01/2017;0000;;70.25;0.666667;
83767;16/01/2017;1200;0;;;
83767;17/01/2017;0000;;91;2;
83767;17/01/2017;1200;0;;;
83767;18/01/2017;0000;;77.75;1;
83767;18/01/2017;1200;55.2;;;
83767;19/01/2017;0000;;79.75;1.666667;
83767;19/01/2017;1200;0;;;
83767;20/01/2017;0000;;75;1.333333;
83767;20/01/2017;1200;0.7;;;
83767;21/01/2017;0000;;77;1.333333;
83767;21/01/2017;1200;0;;;
83767;22/01/2017;0000;;83;1;
83767;22/01/2017;1200;14.5;;;
83767;23/01/2017;0000;;75;1.666667;
83767;23/01/2017;1200;0.4;;;
83767;24/01/2017;0000;;75;0.666667;
83767;24/01/2017;1200;1.1;;;
83767;25/01/2017;0000;;94.5;0.666667;
83767;25/01/2017;1200;3.5;;;
83767;26/01/2017;0000;;79.75;0.666667;
83767;26/01/2017;1200;17.4;;;
83767;27/01/2017;0000;;67.25;0.666667;
83767;27/01/2017;1200;0.9;;;
83767;28/01/2017;0000;;77.5;1.333333;
83767;28/01/2017;1200;0;;;
83767;29/01/2017;0000;;81.25;1.666667;
83767;29/01/2017;1200;5.3;;;
83767;30/01/2017;0000;;78.5;1;
83767;30/01/2017;1200;0;;;
83767;31/01/2017;0000;;76.5;1.333333;
83767;31/01/2017;1200;0.1;;;
83767;01/02/2017;0000;;83.75;1.333333;
83767;01/02/2017;1200;7.4;;;
83767;02/02/2017;0000;;82.5;1.666667;
83767;02/02/2017;1200;1.8;;;
83767;03/02/2017;0000;;77.5;1;
83767;03/02/2017;1200;7.8;;;
83767;04/02/2017;0000;;64.25;1.333333;
83767;04/02/2017;1200;0;;;
83767;05/02/2017;0000;;69.5;1.333333;
83767;05/02/2017;1200;0;;;
83767;06/02/2017;0000;;62.5;1;
83767;06/02/2017;1200;0;;;
83767;07/02/2017;0000;;71.25;1.333333;
83767;07/02/2017;1200;0;;;
83767;08/02/2017;0000;;74.5;2.333333;
83767;08/02/2017;1200;22.8;;;
83767;09/02/2017;0000;;62.75;1.666667;
83767;09/02/2017;1200;17.2;;;
83767;10/02/2017;0000;;64.75;2.333333;
83767;10/02/2017;1200;0;;;
83767;11/02/2017;0000;;77.25;3.666667;
83767;11/02/2017;1200;0;;;
83767;12/02/2017;0000;;83.25;1.666667;
83767;12/02/2017;1200;0.3;;;
83767;13/02/2017;0000;;88.5;3.666667;
83767;13/02/2017;1200;24.9;;;
83767;14/02/2017;0000;;89.25;0.666667;
83767;14/02/2017;1200;30.9;;;
83767;15/02/2017;0000;;58.5;1;
83767;15/02/2017;1200;1.9;;;
83767;16/02/2017;0000;;65;1.333333;
83767;16/02/2017;1200;0;;;
83767;17/02/2017;0000;;61.5;1.333333;
83767;17/02/2017;1200;0.4;;;
83767;18/02/2017;0000;;58.25;1;
83767;18/02/2017;1200;0;;;
83767;19/02/2017;0000;;59.25;1;
83767;19/02/2017;1200;0;;;
83767;20/02/2017;0000;;51.25;1.333333;
83767;20/02/2017;1200;0;;;
83767;21/02/2017;0000;;54.75;1.666667;
83767;21/02/2017;1200;0;;;
83767;22/02/2017;0000;;56;1.333333;
83767;22/02/2017;1200;0;;;
83767;23/02/2017;0000;;75.5;1.333333;
83767;23/02/2017;1200;0.1;;;
83767;24/02/2017;0000;;82.25;0.333333;
83767;24/02/2017;1200;19.3;;;
83767;25/02/2017;0000;;82.5;1;
83767;25/02/2017;1200;1.4;;;
83767;26/02/2017;0000;;74.5;0.666667;
83767;26/02/2017;1200;13.1;;;
83767;27/02/2017;0000;;68.5;1.333333;
83767;27/02/2017;1200;0;;;
83767;28/02/2017;0000;;66.75;1.333333;
83767;28/02/2017;1200;0;;;
83767;01/03/2017;0000;;66;2;
83767;01/03/2017;1200;0;;;
83767;02/03/2017;0000;;84;1.333333;
83767;02/03/2017;1200;21.1;;;
83767;03/03/2017;0000;;81;1;
83767;03/03/2017;1200;2.1;;;
83767;04/03/2017;0000;;84.25;0.666667;
83767;04/03/2017;1200;0;;;
83767;05/03/2017;0000;;96.5;1;
83767;05/03/2017;1200;0;;;
83767;06/03/2017;0000;;78.75;1;
83767;06/03/2017;1200;11.2;;;
83767;07/03/2017;0000;;67.25;1;
83767;07/03/2017;1200;0;;;
83767;08/03/2017;0000;;64.75;1;
83767;08/03/2017;1200;0;;;
83767;09/03/2017;0000;;63.75;0.666667;
83767;09/03/2017;1200;0;;;
83767;10/03/2017;0000;;82.25;0.333333;
83767;10/03/2017;1200;0;;;
83767;11/03/2017;0000;;58.5;0.666667;
83767;11/03/2017;1200;0;;;
83767;12/03/2017;0000;;77.75;2;
83767;12/03/2017;1200;0;;;
83767;13/03/2017;0000;;68.75;1;
83767;13/03/2017;1200;63.2;;;
83767;14/03/2017;0000;;65.25;1.333333;
83767;14/03/2017;1200;0;;;
83767;15/03/2017;0000;;62.25;2;
83767;15/03/2017;1200;0;;;
83767;16/03/2017;0000;;72.5;2;
83767;16/03/2017;1200;0;;;
83767;17/03/2017;0000;;96.75;0.666667;
83767;17/03/2017;1200;29.2;;;
83767;18/03/2017;0000;;84.25;1.333333;
83767;18/03/2017;1200;34.4;;;
83767;19/03/2017;0000;;77.25;1;
83767;19/03/2017;1200;0;;;
83767;20/03/2017;0000;;65.75;1.333333;
83767;20/03/2017;1200;0;;;
83767;21/03/2017;0000;;59.25;1.666667;
83767;21/03/2017;1200;0;;;
83767;22/03/2017;0000;;54.5;1;
83767;22/03/2017;1200;0;;;
83767;23/03/2017;0000;;61.75;1;
83767;23/03/2017;1200;0;;;
83767;24/03/2017;0000;;60.75;1;
83767;24/03/2017;1200;0;;;
83767;25/03/2017;0000;;62.75;0.666667;
83767;25/03/2017;1200;0;;;
