"estacao";"data";"umidade.relativa.media";"velocidade.do.vento.media";"precipitacao";"estacaoano"
83767;2017-04-14;66;1;0;"Outono"
83767;2017-04-15;60.25;1.333333;0;"Outono"
83767;2017-04-16;96.5;1;2.2;"Outono"
83767;2017-04-17;83.5;1;10.6;"Outono"
83767;2017-04-18;69;1;0;"Outono"
83767;2017-04-19;64.75;1.666667;0;"Outono"
83767;2017-04-20;85.5;1;0;"Outono"
83767;2017-04-21;85;1;14.8;"Outono"
83767;2017-04-22;75.25;0.333333;1.2;"Outono"
83767;2017-04-23;71.75;1.666667;0;"Outono"
83767;2017-04-24;68.25;1.333333;0;"Outono"
83767;2017-04-25;72.75;1.666667;0;"Outono"
83767;2017-04-26;95.25;1;32.7;"Outono"
83767;2017-04-27;63;2.333333;4.5;"Outono"
83767;2017-04-28;57.5;1.333333;0;"Outono"
83767;2017-04-29;65.75;1.666667;0;"Outono"
83767;2017-04-30;69.5;2;0;"Outono"
83767;2017-05-01;82.75;2;0;"Outono"
83767;2017-05-02;72;1.666667;18;"Outono"
83767;2017-05-03;64;1.333333;0;"Outono"
83767;2017-05-04;97.75;1;31.9;"Outono"
83767;2017-05-05;91.5;1;26.6;"Outono"
83767;2017-05-06;75.75;1;1;"Outono"
83767;2017-05-07;76;1.666667;0;"Outono"
83767;2017-05-08;68.5;1;0;"Outono"
83767;2017-05-09;66.75;1;0;"Outono"
83767;2017-05-10;80;1;0;"Outono"
83767;2017-05-11;71;1.666667;0;"Outono"
83767;2017-05-12;68.25;2;0;"Outono"
83767;2017-05-13;65.75;2.333333;0;"Outono"
83767;2017-05-14;74.25;1;14;"Outono"
83767;2017-05-15;82.25;1.333333;0;"Outono"
83767;2017-05-16;74.5;1;0;"Outono"
83767;2017-05-17;78.5;2;0;"Outono"
83767;2017-05-18;88.5;1.666667;26.9;"Outono"
83767;2017-05-19;96.75;2;33;"Outono"
83767;2017-05-20;99;1.333333;75.4;"Outono"
83767;2017-05-21;98.75;1;41.3;"Outono"
83767;2017-05-22;89;0.333333;38;"Outono"
83767;2017-05-23;77.75;1.333333;0;"Outono"
83767;2017-05-24;72.25;1.333333;0;"Outono"
83767;2017-05-25;73.5;1.666667;0;"Outono"
83767;2017-05-26;72.75;1;0;"Outono"
83767;2017-05-27;81.5;0.666667;0;"Outono"
83767;2017-05-28;78.5;1.333333;0;"Outono"
83767;2017-05-29;80.25;0.333333;0;"Outono"
83767;2017-05-30;77.25;1;0;"Outono"
83767;2017-05-31;90.5;1.333333;0;"Outono"
83767;2017-06-01;79.75;1.333333;2.1;"Outono"
83767;2017-06-02;80.5;1.333333;0;"Outono"
83767;2017-06-03;72.5;1.666667;0;"Outono"
83767;2017-06-04;64.5;2;0;"Outono"
83767;2017-06-05;96.25;0.666667;2.2;"Outono"
83767;2017-06-06;91;0.666667;34.6;"Outono"
83767;2017-06-07;82.5;1;5.4;"Outono"
83767;2017-06-08;81.25;2;0;"Outono"
83767;2017-06-09;65.5;4;18.3;"Outono"
83767;2017-06-10;69.75;0.333333;0;"Outono"
83767;2017-06-11;63.75;0.666667;0;"Outono"
83767;2017-06-12;71.5;1;0;"Outono"
83767;2017-06-13;99.5;0.666667;7.9;"Outono"
83767;2017-06-14;87;1;28.3;"Outono"
83767;2017-06-15;72.5;1.333333;0;"Outono"
83767;2017-06-16;75;1.666667;0;"Outono"
83767;2017-06-17;66.75;1.333333;0;"Outono"
83767;2017-06-18;69.75;0.666667;0;"Outono"
83767;2017-06-19;92;1.333333;0;"Outono"
83767;2017-06-20;90.25;0.666667;4.2;"Outono"
83767;2017-06-21;74;2;0;"Inverno"
83767;2017-06-22;72.5;2;0;"Inverno"
83767;2017-06-23;70.5;1.666667;0;"Inverno"
83767;2017-06-24;67.25;2;0;"Inverno"
